TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
195588	4032	-743	1088	-50	832	-766
195688	4032	-773	960	-56	320	-731
195788	3968	-811	960	-71	-192	-637
195888	3712	-827	896	-72	-1024	-570
195984	3328	-823	768	-67	-1856	-445
196092	2624	-816	768	-66	-2560	-407
196184	2112	-766	640	-57	-2944	-296
196284	1408	-742	512	-48	-3392	-265
196384	1024	-687	448	-34	-3456	-213
196484	320	-649	256	-24	-3520	-181
196592	-256	-546	64	1	-3584	-119
196692	-1088	-409	64	38	-3392	-89
196784	-1920	-346	-128	57	-3136	-80
196892	-2752	-231	-256	79	-2688	-87
196984	-3136	-188	-320	90	-2176	-102
197092	-3392	-115	-448	114	-1856	-133
197192	-3712	-63	-448	90	-1216	-152
197284	-3904	-8	-512	142	-768	-189
197384	-4096	18	-512	149	-384	-216
197488	-4096	80	-512	161	192	-288
197588	-4096	107	-448	169	832	-325
197688	-4032	138	-448	172	1344	-404
197788	-3840	145	-448	175	2048	-443
197888	-3584	157	-384	180	2496	-528
197984	-3200	152	-256	179	2944	-592
198088	-2688	129	-192	167	3584	-660
198188	-2240	91	-128	159	3840	-731
198288	-1792	66	-64	152	4032	-770
198388	-1152	-10	0	129	4288	-841
198488	-448	-57	192	124	4352	-874
198588	192	-137	256	102	4352	-923
